Survived,Age,SibSp,Parch,Fare,female,male,family,alone,Embarked_C,Embarked_Q,Embarked_S,Pclass_1,Pclass_2,Pclass_3
0,2.0,1,0,7,0,1,1,0,0,0,1,0,0,1
1,3.0,1,0,71,1,0,1,0,1,0,0,1,0,0
1,2.0,0,0,7,1,0,0,1,0,0,1,0,0,1
1,3.0,1,0,53,1,0,1,0,0,0,1,1,0,0
0,3.0,0,0,8,0,1,0,1,0,0,1,0,0,1
0,2.0,0,0,8,0,1,0,1,0,1,0,0,0,1
0,5.0,0,0,51,0,1,0,1,0,0,1,1,0,0
0,0.0,3,1,21,0,1,4,0,0,0,1,0,0,1
1,2.0,0,2,11,1,0,2,0,0,0,1,0,0,1
1,1.0,1,0,30,1,0,1,0,1,0,0,0,1,0
1,0.0,1,1,16,1,0,2,0,0,0,1,0,0,1
1,5.0,0,0,26,1,0,0,1,0,0,1,1,0,0
0,1.0,0,0,8,0,1,0,1,0,0,1,0,0,1
0,3.0,1,5,31,0,1,6,0,0,0,1,0,0,1
0,1.0,0,0,7,1,0,0,1,0,0,1,0,0,1
1,5.0,0,0,16,1,0,0,1,0,0,1,0,1,0
0,0.0,4,1,29,0,1,5,0,0,1,0,0,0,1
1,2.0,0,0,13,0,1,0,1,0,0,1,0,1,0
0,3.0,1,0,18,1,0,1,0,0,0,1,0,0,1
1,2.0,0,0,7,1,0,0,1,1,0,0,0,0,1
0,3.0,0,0,26,0,1,0,1,0,0,1,0,1,0
1,3.0,0,0,13,0,1,0,1,0,0,1,0,1,0
1,1.0,0,0,8,1,0,0,1,0,1,0,0,0,1
1,2.0,0,0,35,0,1,0,1,0,0,1,1,0,0
0,0.0,3,1,21,1,0,4,0,0,0,1,0,0,1
1,3.0,1,5,31,1,0,6,0,0,0,1,0,0,1
0,2.0,0,0,7,0,1,0,1,1,0,0,0,0,1
0,1.0,3,2,263,0,1,5,0,0,0,1,1,0,0
1,2.0,0,0,7,1,0,0,1,0,1,0,0,0,1
0,2.0,0,0,7,0,1,0,1,0,0,1,0,0,1
0,3.0,0,0,27,0,1,0,1,1,0,0,1,0,0
1,2.0,1,0,146,1,0,1,0,1,0,0,1,0,0
1,2.0,0,0,7,1,0,0,1,0,1,0,0,0,1
0,7.0,0,0,10,0,1,0,1,0,0,1,0,1,0
0,2.0,1,0,82,0,1,1,0,1,0,0,1,0,0
0,4.0,1,0,52,0,1,1,0,0,0,1,1,0,0
1,2.0,0,0,7,0,1,0,1,1,0,0,0,0,1
0,2.0,0,0,8,0,1,0,1,0,0,1,0,0,1
0,1.0,2,0,18,1,0,2,0,0,0,1,0,0,1
1,1.0,1,0,11,1,0,1,0,1,0,0,0,0,1
0,3.0,1,0,9,1,0,1,0,0,0,1,0,0,1
0,2.0,1,0,21,1,0,1,0,0,0,1,0,1,0
0,2.0,0,0,7,0,1,0,1,1,0,0,0,0,1
1,0.0,1,2,41,1,0,3,0,1,0,0,0,1,0
1,1.0,0,0,7,1,0,0,1,0,1,0,0,0,1
0,2.0,0,0,8,0,1,0,1,0,0,1,0,0,1
0,2.0,1,0,15,0,1,1,0,0,1,0,0,0,1
1,2.0,0,0,7,1,0,0,1,0,1,0,0,0,1
0,2.0,2,0,21,0,1,2,0,1,0,0,0,0,1
0,1.0,1,0,17,1,0,1,0,0,0,1,0,0,1
0,0.0,4,1,39,0,1,5,0,0,0,1,0,0,1
0,2.0,0,0,7,0,1,0,1,0,0,1,0,0,1
1,4.0,1,0,76,1,0,1,0,1,0,0,1,0,0
1,2.0,1,0,26,1,0,1,0,0,0,1,0,1,0
0,7.0,0,1,61,0,1,1,0,1,0,0,1,0,0
1,2.0,0,0,35,0,1,0,1,0,0,1,1,0,0
1,2.0,0,0,10,1,0,0,1,0,0,1,0,1,0
0,2.0,0,0,7,0,1,0,1,1,0,0,0,0,1
1,0.0,1,2,27,1,0,3,0,0,0,1,0,1,0
0,1.0,5,2,46,0,1,7,0,0,0,1,0,0,1
0,2.0,0,0,7,0,1,0,1,1,0,0,0,0,1
1,3.0,0,0,80,1,0,0,1,0,0,1,1,0,0
0,4.0,1,0,83,0,1,1,0,0,0,1,1,0,0
0,0.0,3,2,27,0,1,5,0,0,0,1,0,0,1
0,2.0,0,0,27,0,1,0,1,1,0,0,1,0,0
1,2.0,1,1,15,0,1,2,0,1,0,0,0,0,1
1,2.0,0,0,10,1,0,0,1,0,0,1,0,1,0
0,1.0,0,0,8,0,1,0,1,0,0,1,0,0,1
1,1.0,4,2,7,1,0,6,0,0,0,1,0,0,1
0,2.0,2,0,8,0,1,2,0,0,0,1,0,0,1
0,3.0,0,0,10,0,1,0,1,0,0,1,0,1,0
0,1.0,5,2,46,1,0,7,0,0,0,1,0,0,1
0,2.0,0,0,73,0,1,0,1,0,0,1,0,1,0
0,2.0,1,0,14,0,1,1,0,1,0,0,0,0,1
1,3.0,0,0,56,0,1,0,1,0,0,1,0,0,1
0,2.0,0,0,7,0,1,0,1,0,0,1,0,0,1
0,2.0,0,0,7,0,1,0,1,0,0,1,0,0,1
0,2.0,0,0,8,0,1,0,1,0,0,1,0,0,1
1,0.0,0,2,29,0,1,2,0,0,0,1,0,1,0
1,2.0,0,0,12,1,0,0,1,0,0,1,0,0,1
0,2.0,0,0,9,0,1,0,1,0,0,1,0,0,1
1,2.0,0,0,9,0,1,0,1,0,0,1,0,0,1
1,2.0,0,0,7,1,0,0,1,0,1,0,0,0,1
0,2.0,0,0,47,0,1,0,1,0,0,1,1,0,0
1,1.0,0,0,10,1,0,0,1,0,0,1,0,1,0
1,3.0,3,0,15,1,0,3,0,0,0,1,0,0,1
0,1.0,1,3,34,0,1,4,0,0,0,1,0,0,1
0,2.0,0,0,8,0,1,0,1,0,0,1,0,0,1
1,2.0,3,2,263,1,0,5,0,0,0,1,1,0,0
0,2.0,0,0,8,0,1,0,1,0,0,1,0,0,1
0,2.0,0,0,8,0,1,0,1,0,0,1,0,0,1
0,1.0,0,0,7,0,1,0,1,0,0,1,0,0,1
0,4.0,1,0,61,0,1,1,0,0,0,1,1,0,0
0,2.0,1,2,20,0,1,3,0,0,0,1,0,0,1
0,5.0,0,0,7,0,1,0,1,0,0,1,0,0,1
0,2.0,0,0,8,0,1,0,1,0,0,1,0,0,1
0,8.0,0,0,34,0,1,0,1,1,0,0,1,0,0
1,2.0,0,1,63,0,1,1,0,1,0,0,1,0,0
1,3.0,0,1,23,1,0,1,0,0,0,1,0,1,0
0,3.0,1,0,26,0,1,1,0,0,0,1,0,1,0
0,2.0,0,0,7,1,0,0,1,0,0,1,0,0,1
0,2.0,0,0,7,0,1,0,1,0,0,1,0,0,1
0,2.0,0,1,77,0,1,1,0,0,0,1,1,0,0
0,3.0,0,0,8,0,1,0,1,0,0,1,0,0,1
0,3.0,2,0,7,0,1,2,0,0,0,1,0,0,1
0,2.0,0,0,7,0,1,0,1,0,0,1,0,0,1
1,2.0,0,0,7,1,0,0,1,0,0,1,0,0,1
1,2.0,0,0,7,0,1,0,1,0,0,1,0,0,1
0,3.0,0,0,7,0,1,0,1,0,0,1,0,0,1
1,2.0,1,0,24,1,0,1,0,0,1,0,0,0,1
0,4.0,0,0,52,0,1,0,1,0,0,1,1,0,0
0,1.0,1,0,14,1,0,1,0,1,0,0,0,0,1
0,2.0,0,0,8,0,1,0,1,0,0,1,0,0,1
0,1.0,1,0,9,1,0,1,0,0,0,1,0,0,1
0,1.0,0,0,14,1,0,0,1,1,0,0,0,0,1
0,2.0,0,0,7,0,1,0,1,0,0,1,0,0,1
0,8.0,0,0,7,0,1,0,1,0,1,0,0,0,1
0,2.0,1,0,21,0,1,1,0,0,0,1,0,1,0
0,2.0,0,1,247,0,1,1,0,1,0,0,1,0,0
0,0.0,4,2,31,1,0,6,0,0,0,1,0,0,1
0,2.0,2,0,73,0,1,2,0,0,0,1,0,1,0
0,2.0,0,0,8,0,1,0,1,0,0,1,0,0,1
0,3.0,1,0,30,0,1,1,0,1,0,0,0,1,0
1,3.0,0,0,13,1,0,0,1,0,0,1,0,1,0
0,5.0,0,1,77,0,1,1,0,0,0,1,1,0,0
1,1.0,1,0,11,0,1,1,0,1,0,0,0,0,1
0,2.0,0,0,7,0,1,0,1,0,1,0,0,0,1
1,2.0,0,0,7,0,1,0,1,0,0,1,0,0,1
1,2.0,1,1,22,1,0,2,0,1,0,0,0,0,1
0,4.0,0,0,6,0,1,0,1,0,0,1,0,0,1
0,3.0,0,0,7,0,1,0,1,1,0,0,0,0,1
0,1.0,0,0,7,0,1,0,1,0,0,1,0,0,1
0,4.0,1,0,14,1,0,1,0,0,0,1,0,0,1
1,2.0,1,0,26,1,0,1,0,0,0,1,0,1,0
0,2.0,0,0,13,0,1,0,1,0,0,1,0,1,0
0,2.0,0,0,15,0,1,0,1,1,0,0,0,1,0
1,1.0,0,2,26,1,0,2,0,0,0,1,1,0,0
0,3.0,1,0,53,0,1,1,0,0,0,1,1,0,0
0,1.0,0,0,9,0,1,0,1,0,0,1,0,0,1
0,2.0,0,0,79,0,1,0,1,1,0,0,1,0,0
0,2.0,0,2,15,1,0,2,0,1,0,0,0,0,1
1,2.0,0,0,7,1,0,0,1,0,0,1,0,0,1
1,2.0,1,0,15,1,0,1,0,0,0,1,0,0,1
0,1.0,0,0,6,0,1,0,1,0,1,0,0,0,1
0,1.0,0,0,11,0,1,0,1,0,0,1,0,1,0
0,1.0,1,1,36,0,1,2,0,0,0,1,0,1,0
1,2.0,0,0,7,0,1,0,1,0,0,1,0,0,1
0,0.0,2,2,34,1,0,4,0,0,0,1,0,0,1
0,3.0,0,2,26,0,1,2,0,0,0,1,0,1,0
0,4.0,0,0,13,0,1,0,1,0,0,1,0,1,0
0,5.0,0,0,12,0,1,0,1,0,0,1,0,1,0
1,2.0,1,0,66,1,0,1,0,0,0,1,1,0,0
0,5.0,0,0,8,0,1,0,1,0,0,1,0,0,1
0,4.0,0,2,14,0,1,2,0,0,0,1,0,0,1
0,2.0,0,0,7,0,1,0,1,0,0,1,0,0,1
0,5.0,0,1,61,0,1,1,0,1,0,0,1,0,0
1,1.0,0,0,7,1,0,0,1,0,1,0,0,0,1
0,2.0,0,0,8,0,1,0,1,0,0,1,0,0,1
0,2.0,0,0,8,0,1,0,1,0,0,1,0,0,1
0,2.0,8,2,69,0,1,10,0,0,0,1,0,0,1
0,4.0,0,1,16,0,1,1,0,0,0,1,0,0,1
1,3.0,0,0,15,1,0,0,1,0,0,1,0,1,0
0,2.0,0,0,7,0,1,0,1,0,0,1,0,0,1
0,1.0,0,0,8,0,1,0,1,0,0,1,0,0,1
0,0.0,4,1,39,0,1,5,0,0,0,1,0,0,1
1,0.0,0,2,20,0,1,2,0,0,0,1,0,0,1
1,2.0,0,1,55,1,0,1,0,0,0,1,1,0,0
0,4.0,1,4,27,1,0,5,0,0,0,1,0,0,1
0,2.0,0,0,25,0,1,0,1,0,0,1,1,0,0
0,2.0,0,0,56,0,1,0,1,0,0,1,0,0,1
0,7.0,0,0,33,0,1,0,1,0,0,1,1,0,0
0,0.0,4,1,29,0,1,5,0,0,1,0,0,0,1
1,0.0,1,1,11,1,0,2,0,0,0,1,0,0,1
0,2.0,0,0,7,0,1,0,1,0,0,1,0,0,1
0,5.0,0,0,30,0,1,0,1,1,0,0,1,0,0
0,1.0,1,1,7,0,1,2,0,0,0,1,0,0,1
0,2.0,3,1,25,0,1,4,0,0,0,1,0,0,1
0,4.0,0,0,28,1,0,0,1,1,0,0,1,0,0
0,2.0,0,0,13,0,1,0,1,0,0,1,0,1,0
0,3.0,0,0,0,0,1,0,1,0,0,1,0,0,1
0,2.0,8,2,69,1,0,10,0,0,0,1,0,0,1
0,2.0,0,0,15,0,1,0,1,1,0,0,0,1,0
0,0.0,4,2,31,0,1,6,0,0,0,1,0,0,1
1,0.0,2,1,39,0,1,3,0,0,0,1,0,1,0
1,0.0,0,2,22,1,0,2,0,0,0,1,0,0,1
0,2.0,0,0,50,0,1,0,1,0,0,1,1,0,0
1,2.0,1,0,15,1,0,1,0,0,1,0,0,0,1
1,4.0,0,0,26,0,1,0,1,0,0,1,1,0,0
0,3.0,1,1,15,0,1,2,0,0,1,0,0,0,1
0,3.0,0,0,7,0,1,0,1,0,0,1,0,0,1
1,3.0,0,0,13,1,0,0,1,0,0,1,0,1,0
0,1.0,0,0,13,0,1,0,1,0,0,1,0,1,0
1,1.0,1,0,7,1,0,1,0,0,0,1,0,0,1
1,0.0,1,1,26,0,1,2,0,0,0,1,0,1,0
1,4.0,0,0,27,1,0,0,1,1,0,0,1,0,0
1,5.0,0,0,146,1,0,0,1,1,0,0,1,0,0
0,2.0,0,0,7,0,1,0,1,0,1,0,0,0,1
0,4.0,0,1,8,0,1,1,0,0,0,1,0,0,1
1,2.0,0,0,7,1,0,0,1,0,1,0,0,0,1
0,2.0,0,0,13,1,0,0,1,0,0,1,0,1,0
0,2.0,0,0,9,0,1,0,1,0,0,1,0,0,1
0,2.0,8,2,69,0,1,10,0,0,0,1,0,0,1
0,3.0,0,0,6,0,1,0,1,0,0,1,0,0,1
0,4.0,0,0,7,0,1,0,1,1,0,0,0,0,1
1,1.0,0,0,8,0,1,0,1,0,0,1,0,0,1
0,0.0,0,1,10,1,0,1,0,0,0,1,0,0,1
0,3.0,1,0,15,0,1,1,0,0,0,1,0,0,1
1,2.0,0,0,18,0,1,0,1,1,0,0,0,0,1
1,1.0,0,0,7,1,0,0,1,0,1,0,0,0,1
1,3.0,0,0,31,0,1,0,1,1,0,0,1,0,0
0,2.0,0,0,7,0,1,0,1,0,0,1,0,0,1
1,3.0,0,0,21,1,0,0,1,0,0,1,0,1,0
0,2.0,0,0,7,0,1,0,1,0,0,1,0,0,1
0,2.0,0,0,13,0,1,0,1,0,0,1,0,1,0
0,2.0,1,0,7,0,1,1,0,0,1,0,0,0,1
1,3.0,1,0,113,1,0,1,0,1,0,0,1,0,0
1,2.0,0,0,7,1,0,0,1,0,0,1,0,0,1
0,4.0,1,0,27,0,1,1,0,0,0,1,0,1,0
1,3.0,0,0,76,1,0,0,1,1,0,0,1,0,0
0,2.0,0,0,10,0,1,0,1,0,0,1,0,1,0
1,1.0,0,0,8,0,1,0,1,0,0,1,0,0,1
0,2.0,0,0,13,0,1,0,1,0,0,1,0,1,0
0,5.0,0,0,8,0,1,0,1,0,0,1,0,0,1
0,2.0,0,0,7,0,1,0,1,0,0,1,0,0,1
1,3.0,1,0,90,0,1,1,0,0,0,1,1,0,0
0,2.0,0,0,9,0,1,0,1,0,0,1,0,0,1
1,1.0,0,0,10,0,1,0,1,0,0,1,0,1,0
0,2.0,0,0,7,0,1,0,1,0,0,1,0,0,1
0,1.0,0,0,13,0,1,0,1,0,0,1,0,1,0
0,2.0,3,1,25,1,0,4,0,0,0,1,0,0,1
1,3.0,1,0,83,1,0,1,0,0,0,1,1,0,0
0,2.0,0,0,7,0,1,0,1,0,0,1,0,0,1
0,5.0,0,0,13,0,1,0,1,0,0,1,0,1,0
1,0.0,4,2,31,1,0,6,0,0,0,1,0,0,1
0,2.0,0,0,10,0,1,0,1,0,0,1,0,1,0
0,2.0,0,0,7,1,0,0,1,0,0,1,0,0,1
0,4.0,1,0,26,0,1,1,0,0,0,1,0,1,0
1,0.0,0,2,26,1,0,2,0,0,0,1,0,1,0
0,1.0,0,0,10,0,1,0,1,0,0,1,0,1,0
0,3.0,0,0,12,0,1,0,1,0,0,1,0,1,0
0,2.0,1,0,14,1,0,1,0,1,0,0,0,0,1
1,2.0,1,0,15,1,0,1,0,0,1,0,0,0,1
0,2.0,0,0,10,0,1,0,1,0,0,1,0,1,0
0,2.0,0,0,7,0,1,0,1,0,0,1,0,0,1
0,2.0,0,0,7,0,1,0,1,1,0,0,0,0,1
0,4.0,2,0,90,0,1,2,0,0,1,0,1,0,0
0,2.0,0,0,7,1,0,0,1,0,0,1,0,0,1
1,2.0,0,2,14,1,0,2,0,0,0,1,0,1,0
1,3.0,1,1,52,0,1,2,0,0,0,1,1,0,0
0,5.0,1,0,26,0,1,1,0,0,0,1,0,1,0
0,2.0,0,0,7,0,1,0,1,0,0,1,0,0,1
0,2.0,1,1,10,1,0,2,0,0,0,1,0,0,1
0,7.0,0,0,26,0,1,0,1,0,0,1,1,0,0
0,2.0,1,0,16,0,1,1,0,0,0,1,0,0,1
0,4.0,0,2,20,1,0,2,0,0,0,1,0,0,1
1,2.0,0,2,15,1,0,2,0,1,0,0,0,0,1
1,2.0,0,0,79,1,0,0,1,1,0,0,1,0,0
1,2.0,0,0,86,1,0,0,1,0,0,1,1,0,0
1,3.0,0,0,512,1,0,0,1,1,0,0,1,0,0
1,4.0,0,1,26,1,0,1,0,0,0,1,0,1,0
0,2.0,0,0,7,0,1,0,1,0,1,0,0,0,1
1,0.0,4,2,31,0,1,6,0,0,0,1,0,0,1
0,5.0,1,1,79,0,1,2,0,0,0,1,1,0,0
0,3.0,0,0,0,0,1,0,1,0,0,1,1,0,0
0,2.0,0,0,7,1,0,0,1,0,1,0,0,0,1
0,3.0,0,0,10,0,1,0,1,0,0,1,0,1,0
0,1.0,4,1,39,0,1,5,0,0,0,1,0,0,1
1,2.0,1,0,7,0,1,1,0,0,0,1,0,0,1
1,5.0,0,1,153,1,0,1,0,0,0,1,1,0,0
1,3.0,0,0,135,1,0,0,1,0,0,1,1,0,0
0,2.0,0,0,31,0,1,0,1,0,0,1,1,0,0
1,2.0,0,0,0,0,1,0,1,0,0,1,0,0,1
1,4.0,0,1,19,1,0,1,0,0,0,1,0,1,0
0,3.0,0,1,29,0,1,1,0,1,0,0,1,0,0
1,2.0,0,0,7,1,0,0,1,0,1,0,0,0,1
1,7.0,1,0,77,1,0,1,0,0,0,1,1,0,0
0,4.0,0,0,7,1,0,0,1,0,0,1,0,0,1
0,2.0,0,0,0,0,1,0,1,0,0,1,0,1,0
0,0.0,4,1,29,0,1,5,0,0,1,0,0,0,1
1,3.0,1,1,20,1,0,2,0,0,0,1,0,0,1
0,7.0,0,0,7,0,1,0,1,0,1,0,0,0,1
0,2.0,0,0,7,0,1,0,1,0,0,1,0,0,1
0,1.0,0,0,9,0,1,0,1,0,0,1,0,0,1
1,1.0,0,0,8,0,1,0,1,0,0,1,0,0,1
0,2.0,0,0,26,0,1,0,1,0,0,1,1,0,0
0,3.0,0,0,8,0,1,0,1,1,0,0,0,0,1
1,2.0,0,0,9,0,1,0,1,0,0,1,0,0,1
0,2.0,0,0,7,0,1,0,1,0,0,1,0,0,1
1,4.0,0,0,13,0,1,0,1,0,0,1,0,1,0
1,2.0,0,0,7,1,0,0,1,0,1,0,0,0,1
1,2.0,0,0,78,1,0,0,1,0,0,1,1,0,0
1,1.0,1,0,91,1,0,1,0,1,0,0,1,0,0
0,3.0,0,0,12,0,1,0,1,1,0,0,0,1,0
0,2.0,0,0,8,1,0,0,1,0,0,1,0,0,1
