Survived,Age,SibSp,Parch,Fare,female,male,family,alone,Embarked_C,Embarked_Q,Embarked_S,Pclass_1,Pclass_2,Pclass_3
0,2.0,0,0,7,0,1,0,1,0,0,1,0,0,1
0,2.0,0,0,27,0,1,0,1,1,0,0,1,0,0
0,2.0,0,0,7,0,1,0,1,1,0,0,0,0,1
0,0.0,1,2,151,1,0,3,0,0,0,1,1,0,0
1,2.0,0,0,30,0,1,0,1,0,0,1,1,0,0
1,4.0,0,1,247,1,0,1,0,1,0,0,1,0,0
1,2.0,0,0,7,1,0,0,1,0,1,0,0,0,1
1,2.0,2,0,23,0,1,2,0,0,1,0,0,0,1
0,1.0,0,0,0,0,1,0,1,0,0,1,0,0,1
1,2.0,0,0,12,1,0,0,1,0,1,0,0,1,0
0,2.0,0,0,8,0,1,0,1,0,0,1,0,0,1
1,0.0,1,2,151,0,1,3,0,0,0,1,1,0,0
1,2.0,0,0,110,1,0,0,1,1,0,0,1,0,0
1,1.0,1,0,108,1,0,1,0,1,0,0,1,0,0
0,2.0,1,0,24,0,1,1,0,1,0,0,0,1,0
1,2.0,0,0,56,1,0,0,1,1,0,0,1,0,0
1,2.0,0,0,83,1,0,0,1,1,0,0,1,0,0
1,1.0,2,2,262,1,0,4,0,1,0,0,1,0,0
0,2.0,1,1,26,1,0,2,0,0,0,1,0,1,0
0,2.0,0,0,7,0,1,0,1,0,0,1,0,0,1
0,4.0,1,1,26,0,1,2,0,0,0,1,0,1,0
1,2.0,0,0,7,1,0,0,1,0,0,1,0,0,1
1,2.0,1,0,26,1,0,1,0,0,0,1,0,1,0
0,5.0,0,0,14,0,1,0,1,0,0,1,0,1,0
1,3.0,0,2,164,1,0,2,0,0,0,1,1,0,0
1,3.0,1,1,134,1,0,2,0,1,0,0,1,0,0
0,2.0,0,0,7,0,1,0,1,0,0,1,0,0,1
0,2.0,0,0,7,0,1,0,1,0,0,1,0,0,1
1,2.0,0,0,12,1,0,0,1,0,1,0,0,1,0
1,2.0,1,1,29,1,0,2,0,0,0,1,0,1,0
0,2.0,8,2,69,0,1,10,0,0,0,1,0,0,1
1,3.0,0,0,135,1,0,0,1,1,0,0,1,0,0
0,7.0,0,0,6,0,1,0,1,0,0,1,0,0,1
1,3.0,0,0,13,1,0,0,1,0,0,1,0,1,0
1,3.0,1,1,20,1,0,2,0,0,0,1,0,0,1
1,1.0,0,1,57,1,0,1,0,1,0,0,1,0,0
1,2.0,2,0,23,1,0,2,0,0,1,0,0,0,1
0,4.0,0,0,28,0,1,0,1,0,0,1,1,0,0
0,3.0,0,1,153,0,1,1,0,0,0,1,1,0,0
0,1.0,2,0,18,0,1,2,0,0,0,1,0,0,1
1,2.0,1,0,133,1,0,1,0,0,0,1,1,0,0
0,2.0,0,0,7,0,1,0,1,0,0,1,0,0,1
0,2.0,1,0,66,0,1,1,0,0,0,1,1,0,0
1,4.0,0,0,134,1,0,0,1,1,0,0,1,0,0
1,4.0,0,0,8,0,1,0,1,0,0,1,0,0,1
0,4.0,0,0,35,0,1,0,1,0,0,1,1,0,0
1,0.0,1,1,26,0,1,2,0,0,0,1,0,1,0
1,2.0,3,2,263,1,0,5,0,0,0,1,1,0,0
0,2.0,0,0,13,0,1,0,1,0,0,1,0,1,0
0,2.0,0,0,13,0,1,0,1,0,0,1,0,1,0
0,3.0,0,0,13,0,1,0,1,0,0,1,0,1,0
1,2.0,0,0,13,1,0,0,1,0,0,1,0,1,0
1,3.0,0,0,13,1,0,0,1,0,0,1,0,1,0
1,2.0,1,0,16,1,0,1,0,0,0,1,0,0,1
1,0.0,1,1,15,0,1,2,0,0,0,1,0,0,1
0,4.0,0,0,8,0,1,0,1,0,0,1,0,0,1
0,2.0,0,0,9,0,1,0,1,0,0,1,0,0,1
0,2.0,0,0,35,0,1,0,1,0,0,1,1,0,0
0,1.0,1,1,7,0,1,2,0,1,0,0,0,0,1
0,2.0,1,0,17,0,1,1,0,0,0,1,0,0,1
0,2.0,0,0,7,0,1,0,1,1,0,0,0,0,1
0,2.0,0,0,9,0,1,0,1,0,0,1,0,0,1
1,2.0,0,1,55,1,0,1,0,0,0,1,1,0,0
0,3.0,0,0,13,1,0,0,1,0,0,1,0,1,0
1,2.0,0,0,7,1,0,0,1,0,1,0,0,0,1
1,2.0,0,0,7,1,0,0,1,0,1,0,0,0,1
0,3.0,1,4,27,0,1,5,0,0,0,1,0,0,1
0,2.0,1,0,27,0,1,1,0,1,0,0,0,1,0
0,4.0,0,1,14,1,0,1,0,1,0,0,0,0,1
0,3.0,0,0,7,0,1,0,1,0,0,1,0,0,1
0,2.0,1,0,15,0,1,1,0,0,1,0,0,0,1
0,2.0,0,0,7,0,1,0,1,0,0,1,0,0,1
1,5.0,1,0,75,1,0,1,0,1,0,0,1,0,0
1,2.0,0,0,7,1,0,0,1,1,0,0,0,0,1
1,2.0,0,0,7,1,0,0,1,0,1,0,0,0,1
1,2.0,0,0,69,1,0,0,1,1,0,0,1,0,0
1,2.0,1,0,55,0,1,1,0,1,0,0,1,0,0
0,1.0,1,0,6,0,1,1,0,0,0,1,0,0,1
0,1.0,0,0,8,0,1,0,1,0,0,1,0,0,1
0,2.0,0,0,135,0,1,0,1,1,0,0,1,0,0
0,0.0,3,1,21,1,0,4,0,0,0,1,0,0,1
1,2.0,1,0,82,1,0,1,0,1,0,0,1,0,0
1,2.0,0,0,7,1,0,0,1,0,0,1,0,0,1
0,2.0,0,2,211,0,1,2,0,1,0,0,1,0,0
0,1.0,0,0,4,0,1,0,1,1,0,0,0,0,1
0,1.0,0,0,7,0,1,0,1,0,0,1,0,0,1
1,4.0,0,0,227,1,0,0,1,1,0,0,1,0,0
1,0.0,0,2,15,1,0,2,0,1,0,0,0,0,1
0,3.0,0,0,7,0,1,0,1,0,0,1,0,0,1
1,3.0,1,0,52,1,0,1,0,0,0,1,1,0,0
0,2.0,0,0,7,0,1,0,1,0,0,1,0,0,1
0,1.0,0,0,73,0,1,0,1,0,0,1,0,1,0
0,0.0,5,2,46,0,1,7,0,0,0,1,0,0,1
1,3.0,0,0,13,1,0,0,1,0,0,1,0,1,0
0,2.0,0,0,7,0,1,0,1,0,1,0,0,0,1
1,1.0,0,0,12,1,0,0,1,1,0,0,0,1,0
1,3.0,1,2,120,0,1,3,0,0,0,1,1,0,0
1,2.0,0,0,7,0,1,0,1,0,0,1,0,0,1
0,2.0,2,0,7,0,1,2,0,0,0,1,0,0,1
1,2.0,1,0,113,1,0,1,0,1,0,0,1,0,0
1,2.0,0,2,16,1,0,2,0,0,0,1,0,0,1
0,2.0,0,0,7,0,1,0,1,0,0,1,0,0,1
0,3.0,0,0,7,1,0,0,1,0,0,1,0,0,1
0,4.0,0,0,26,0,1,0,1,0,0,1,0,1,0
0,2.0,0,0,10,0,1,0,1,0,0,1,0,1,0
1,2.0,0,0,12,1,0,0,1,0,0,1,0,1,0
1,3.0,0,0,7,0,1,0,1,0,0,1,0,0,1
0,2.0,0,0,8,0,1,0,1,0,0,1,0,0,1
0,2.0,1,0,9,1,0,1,0,0,0,1,0,0,1
0,2.0,1,0,15,0,1,1,0,0,0,1,0,0,1
0,1.0,0,0,8,1,0,0,1,0,0,1,0,0,1
0,3.0,1,0,21,0,1,1,0,0,0,1,0,1,0
0,5.0,0,0,7,0,1,0,1,0,0,1,0,0,1
1,0.0,1,1,18,0,1,2,0,0,0,1,0,1,0
0,2.0,0,0,7,0,1,0,1,0,0,1,0,0,1
0,2.0,3,1,25,1,0,4,0,0,0,1,0,0,1
0,2.0,0,0,7,0,1,0,1,0,0,1,0,0,1
0,2.0,0,0,6,0,1,0,1,0,1,0,0,0,1
1,3.0,1,0,90,1,0,1,0,0,1,0,1,0,0
0,2.0,0,0,0,0,1,0,1,0,0,1,0,1,0
1,4.0,0,0,7,0,1,0,1,0,0,1,0,0,1
0,2.0,0,0,8,1,0,0,1,0,0,1,0,0,1
1,3.0,1,1,32,1,0,2,0,0,0,1,0,1,0
1,1.0,0,2,13,1,0,2,0,0,0,1,0,1,0
0,2.0,0,0,13,0,1,0,1,0,0,1,0,1,0
0,0.0,0,2,24,1,0,2,0,0,0,1,0,0,1
0,2.0,0,0,7,0,1,0,1,1,0,0,0,0,1
0,2.0,0,0,7,0,1,0,1,0,1,0,0,0,1
0,2.0,0,0,7,0,1,0,1,0,0,1,0,0,1
0,2.0,1,1,14,1,0,2,0,0,0,1,0,0,1
0,1.0,1,1,20,0,1,2,0,0,0,1,0,0,1
0,2.0,0,0,7,0,1,0,1,0,0,1,0,0,1
1,2.0,1,0,26,1,0,1,0,0,0,1,0,1,0
1,1.0,0,0,26,1,0,0,1,0,0,1,0,1,0
0,2.0,0,0,7,0,1,0,1,0,1,0,0,0,1
1,3.0,0,0,8,0,1,0,1,0,0,1,0,0,1
1,2.0,0,0,26,0,1,0,1,0,0,1,1,0,0
1,2.0,1,0,16,1,0,1,0,0,0,1,0,0,1
1,4.0,1,0,26,1,0,1,0,0,0,1,0,1,0
0,1.0,0,0,7,0,1,0,1,0,0,1,0,0,1
0,4.0,1,0,55,0,1,1,0,0,0,1,1,0,0
1,1.0,1,2,120,1,0,3,0,0,0,1,1,0,0
0,2.0,2,2,34,1,0,4,0,0,0,1,0,0,1
1,2.0,2,3,18,1,0,5,0,0,0,1,0,1,0
0,7.0,1,4,263,0,1,5,0,0,0,1,1,0,0
0,3.0,0,0,10,0,1,0,1,0,0,1,0,1,0
1,4.0,1,1,26,1,0,2,0,0,0,1,0,1,0
0,1.0,0,0,9,0,1,0,1,0,0,1,0,0,1
0,2.0,1,0,7,0,1,1,0,0,0,1,0,0,1
1,2.0,0,0,13,1,0,0,1,0,0,1,0,1,0
1,2.0,0,0,8,0,1,0,1,0,0,1,0,0,1
1,0.0,0,2,81,0,1,2,0,0,0,1,1,0,0
1,1.0,0,1,19,1,0,1,0,0,0,1,0,1,0
1,3.0,0,0,26,0,1,0,1,0,0,1,1,0,0
1,0.0,2,1,19,1,0,3,0,1,0,0,0,0,1
1,5.0,0,0,30,0,1,0,1,0,0,1,1,0,0
0,3.0,1,2,27,0,1,3,0,0,0,1,0,1,0
0,2.0,1,0,19,0,1,1,0,0,0,1,0,0,1
0,2.0,0,0,27,0,1,0,1,1,0,0,1,0,0
1,4.0,1,0,89,0,1,1,0,1,0,0,1,0,0
0,2.0,0,0,8,0,1,0,1,0,0,1,0,0,1
1,2.0,0,0,7,0,1,0,1,1,0,0,0,0,1
0,7.0,0,0,26,0,1,0,1,0,0,1,1,0,0
1,2.0,1,0,51,1,0,1,0,0,0,1,1,0,0
1,4.0,0,0,10,1,0,0,1,0,0,1,0,1,0
0,2.0,0,0,7,0,1,0,1,0,1,0,0,0,1
1,4.0,0,0,26,0,1,0,1,0,0,1,1,0,0
0,3.0,0,0,8,0,1,0,1,0,0,1,0,0,1
0,4.0,0,0,38,0,1,0,1,0,0,1,1,0,0
0,4.0,0,0,13,0,1,0,1,0,0,1,0,1,0
0,2.0,0,0,8,0,1,0,1,0,0,1,0,0,1
0,3.0,0,0,7,0,1,0,1,0,0,1,0,0,1
0,2.0,0,0,0,0,1,0,1,0,0,1,0,1,0
0,5.0,0,0,26,0,1,0,1,0,0,1,1,0,0
0,2.0,0,0,7,0,1,0,1,0,1,0,0,0,1
1,0.0,2,1,19,1,0,3,0,1,0,0,0,0,1
0,2.0,0,0,7,0,1,0,1,0,0,1,0,0,1
0,3.0,0,0,8,0,1,0,1,0,0,1,0,0,1
1,3.0,1,2,27,1,0,3,0,0,0,1,0,1,0
1,2.0,0,0,13,1,0,0,1,1,0,0,0,1,0
0,2.0,0,0,9,1,0,0,1,0,0,1,0,0,1
0,2.0,0,0,52,0,1,0,1,0,0,1,1,0,0
0,3.0,1,0,21,0,1,1,0,0,0,1,0,1,0
0,2.0,1,0,7,0,1,1,0,0,0,1,0,0,1
0,2.0,0,0,7,0,1,0,1,0,0,1,0,0,1
1,0.0,0,1,12,1,0,1,0,0,0,1,0,0,1
0,0.0,5,2,46,0,1,7,0,0,0,1,0,0,1
0,2.0,0,0,0,0,1,0,1,0,0,1,0,1,0
0,4.0,0,0,8,0,1,0,1,0,0,1,0,0,1
1,7.0,0,0,9,1,0,0,1,0,0,1,0,0,1
1,2.0,1,0,91,0,1,1,0,1,0,0,1,0,0
0,2.0,3,1,25,1,0,4,0,0,0,1,0,0,1
1,3.0,1,0,90,1,0,1,0,0,0,1,1,0,0
0,5.0,0,0,29,0,1,0,1,1,0,0,1,0,0
0,2.0,0,0,8,0,1,0,1,0,0,1,0,0,1
1,0.0,1,1,15,0,1,2,0,0,0,1,0,0,1
0,2.0,1,0,19,0,1,1,0,0,0,1,0,0,1
0,2.0,0,0,7,0,1,0,1,0,0,1,0,0,1
0,5.0,0,0,30,0,1,0,1,0,0,1,1,0,0
0,8.0,0,0,49,0,1,0,1,1,0,0,1,0,0
0,2.0,0,0,8,0,1,0,1,0,0,1,0,0,1
0,2.0,0,0,14,0,1,0,1,1,0,0,0,0,1
1,5.0,1,0,78,1,0,1,0,1,0,0,1,0,0
0,2.0,0,0,15,0,1,0,1,0,0,1,0,0,1
0,2.0,1,2,151,1,0,3,0,0,0,1,1,0,0
0,2.0,0,0,7,0,1,0,1,0,0,1,0,0,1
0,1.0,0,0,8,0,1,0,1,0,0,1,0,0,1
0,2.0,0,0,7,1,0,0,1,0,1,0,0,0,1
0,2.0,0,0,7,1,0,0,1,0,1,0,0,0,1
0,3.0,0,0,9,1,0,0,1,0,0,1,0,0,1
1,1.0,0,0,86,1,0,0,1,0,0,1,1,0,0
0,1.0,1,0,108,0,1,1,0,1,0,0,1,0,0
1,3.0,0,2,26,1,0,2,0,0,0,1,0,1,0
1,2.0,0,0,26,0,1,0,1,0,0,1,1,0,0
0,2.0,0,0,22,0,1,0,1,0,0,1,0,0,1
1,2.0,0,0,56,0,1,0,1,0,0,1,0,0,1
1,2.0,0,0,7,0,1,0,1,0,1,0,0,0,1
0,2.0,0,0,8,0,1,0,1,0,0,1,0,0,1
1,3.0,0,0,26,0,1,0,1,0,0,1,1,0,0
1,5.0,1,0,59,1,0,1,0,1,0,0,1,0,0
0,2.0,0,0,7,0,1,0,1,0,0,1,0,0,1
0,4.0,0,0,34,0,1,0,1,0,0,1,1,0,0
1,3.0,0,0,10,1,0,0,1,0,0,1,0,1,0
0,2.0,0,0,24,0,1,0,1,0,1,0,0,0,1
1,3.0,1,0,26,1,0,1,0,0,0,1,0,1,0
0,3.0,0,0,7,0,1,0,1,0,0,1,0,0,1
1,2.0,0,0,93,1,0,0,1,0,0,1,1,0,0
0,2.0,0,0,7,0,1,0,1,0,0,1,0,0,1
0,2.0,0,0,7,0,1,0,1,1,0,0,0,0,1
1,4.0,0,1,57,1,0,1,0,1,0,0,1,0,0
0,2.0,0,0,7,0,1,0,1,1,0,0,0,0,1
0,4.0,0,0,7,0,1,0,1,0,1,0,0,0,1
1,4.0,0,0,10,1,0,0,1,0,0,1,0,1,0
0,2.0,0,0,221,0,1,0,1,0,0,1,1,0,0
0,3.0,0,0,7,0,1,0,1,0,0,1,0,0,1
0,2.0,2,1,11,0,1,3,0,0,0,1,0,1,0
1,0.0,1,1,26,1,0,2,0,0,0,1,0,1,0
0,2.0,0,0,7,0,1,0,1,1,0,0,0,0,1
0,1.0,1,1,7,0,1,2,0,1,0,0,0,0,1
1,2.0,0,2,22,1,0,2,0,1,0,0,0,0,1
0,2.0,0,0,8,1,0,0,1,0,0,1,0,0,1
1,0.0,0,2,26,1,0,2,0,0,0,1,0,1,0
0,4.0,0,0,26,0,1,0,1,0,0,1,1,0,0
1,2.0,0,0,106,1,0,0,1,1,0,0,1,0,0
0,2.0,0,0,14,0,1,0,1,0,0,1,0,0,1
1,2.0,0,2,49,1,0,2,0,1,0,0,1,0,0
1,3.0,0,2,71,1,0,2,0,0,0,1,1,0,0
0,0.0,4,2,31,1,0,6,0,0,0,1,0,0,1
0,1.0,4,2,31,1,0,6,0,0,0,1,0,0,1
1,3.0,1,0,26,0,1,1,0,0,0,1,0,1,0
0,4.0,1,0,106,0,1,1,0,1,0,0,1,0,0
0,7.0,0,0,26,0,1,0,1,0,0,1,1,0,0
1,1.0,1,0,26,1,0,1,0,0,0,1,0,1,0
1,2.0,0,0,13,0,1,0,1,1,0,0,0,1,0
0,3.0,1,1,20,0,1,2,0,0,0,1,0,0,1
1,0.0,1,1,36,0,1,2,0,0,0,1,0,1,0
1,1.0,0,2,110,0,1,2,0,1,0,0,1,0,0
0,2.0,0,0,26,0,1,0,1,0,0,1,0,1,0
0,2.0,0,0,7,0,1,0,1,0,1,0,0,0,1
1,2.0,0,0,7,0,1,0,1,1,0,0,0,0,1
1,2.0,0,0,7,1,0,0,1,0,0,1,0,0,1
0,7.0,0,0,26,0,1,0,1,0,0,1,1,0,0
1,4.0,1,0,39,1,0,1,0,1,0,0,1,0,0
0,2.0,0,0,227,0,1,0,1,1,0,0,1,0,0
1,3.0,1,1,79,1,0,2,0,0,0,1,1,0,0
1,3.0,1,0,17,1,0,1,0,0,0,1,0,0,1
0,2.0,0,0,7,0,1,0,1,0,1,0,0,0,1
0,3.0,0,0,7,0,1,0,1,0,0,1,0,0,1
0,2.0,0,0,13,0,1,0,1,0,0,1,0,1,0
0,2.0,0,0,8,0,1,0,1,0,0,1,0,0,1
0,2.0,0,0,8,1,0,0,1,0,0,1,0,0,1
0,2.0,2,0,24,0,1,2,0,0,0,1,0,0,1
0,1.0,0,0,7,0,1,0,1,0,0,1,0,0,1
0,2.0,0,4,21,1,0,4,0,0,0,1,0,0,1
0,2.0,0,0,7,0,1,0,1,1,0,0,0,0,1
1,3.0,0,0,7,0,1,0,1,0,0,1,0,0,1
1,7.0,0,0,10,0,1,0,1,0,0,1,0,1,0
1,5.0,2,0,51,1,0,2,0,0,0,1,1,0,0
1,3.0,0,0,26,0,1,0,1,0,0,1,1,0,0
1,2.0,0,0,7,1,0,0,1,0,1,0,0,0,1
0,1.0,0,0,8,0,1,0,1,0,0,1,0,0,1
0,1.0,0,0,14,0,1,0,1,0,0,1,0,0,1
1,3.0,0,0,13,1,0,0,1,0,0,1,0,1,0
1,3.0,1,0,55,1,0,1,0,0,0,1,1,0,0
0,2.0,1,0,14,1,0,1,0,1,0,0,0,0,1
1,3.0,0,0,7,0,1,0,1,0,0,1,0,0,1
1,2.0,1,1,30,1,0,2,0,0,0,1,0,1,0
1,3.0,1,1,110,1,0,2,0,1,0,0,1,0,0
0,5.0,0,0,26,0,1,0,1,0,0,1,0,1,0
0,3.0,0,0,40,0,1,0,1,1,0,0,1,0,0
0,2.0,0,0,8,0,1,0,1,1,0,0,0,0,1
1,1.0,0,2,79,1,0,2,0,0,0,1,1,0,0
0,4.0,0,0,15,0,1,0,1,0,0,1,0,1,0
1,5.0,1,1,79,0,1,2,0,1,0,0,1,0,0
0,2.0,0,0,8,0,1,0,1,0,0,1,0,0,1
0,2.0,0,0,8,0,1,0,1,0,0,1,0,0,1
0,3.0,0,0,7,0,1,0,1,0,0,1,0,0,1
1,5.0,1,0,78,1,0,1,0,1,0,0,1,0,0
